Model,Feature,Term,Estimate,SE,p,Baseline (000) mean,n complaints
Mistral,Ownership,C,-0.05501833944648374,0.012118069808275544,5.620355599930798e-06,0.5161720573524509,2999
Mistral,Ownership,A:B,-0.452817605868623,0.009742100259621593,0.0,0.5161720573524509,2999
Mistral,Ownership,A:C,0.0473491163721251,0.012396515287688144,0.00013369507773294226,0.5161720573524509,2999
Mistral,Ownership,B:C,0.06635545181727426,0.012389867033969605,8.526231301940235e-08,0.5161720573524509,2999
Mistral,Ownership,A:B:C,-0.05601867289096508,0.012738719274010862,1.0949875265271622e-05,0.5161720573524509,2999
Mistral,Time-bound commitment,A,0.3477825941980657,0.011497821517286214,5.594517212738973e-201,0.3357785928642881,2999
Mistral,Time-bound commitment,B,0.622540846948981,0.009283904194902217,0.0,0.3357785928642881,2999
Mistral,Time-bound commitment,C,-0.30576858952984487,0.008816105581725478,1.423816157745418e-263,0.3357785928642881,2999
Mistral,Time-bound commitment,A:B,-0.5525175058352778,0.014375442352952603,0.0,0.3357785928642881,2999
Mistral,Time-bound commitment,A:C,0.0513504501500508,0.014902173000626835,0.0005692949020675742,0.3357785928642881,2999
Mistral,Time-bound commitment,B:C,0.2727575858619559,0.010750852685375295,5.300215823488514e-142,0.3357785928642881,2999
Mistral,Time-bound commitment,A:B:C,-0.09536512170723771,0.01984748372351761,1.548309299356912e-06,0.3357785928642881,2999
Mistral,Escalation,A,0.4764921640546864,0.010569299991574882,0.0,0.217405801933978,2999
Mistral,Escalation,B,0.04401467155718595,0.008851243057610725,6.602313179402276e-07,0.217405801933978,2999
Mistral,Escalation,C,-0.12704234744915038,0.008050880721705829,4.27650947110762e-56,0.217405801933978,2999
Mistral,Escalation,A:B,-0.3041013671223747,0.013908061296208642,5.582387079476528e-106,0.217405801933978,2999
Mistral,Escalation,A:C,0.012337445815270937,0.013159517125975356,0.34848585404336485,0.217405801933978,2999
Mistral,Escalation,B:C,0.07669223074358227,0.01091250399150378,2.0963148988008724e-12,0.217405801933978,2999
Mistral,Escalation,A:B:C,0.09403134378125985,0.01782999249550874,1.3364676114324024e-07,0.217405801933978,2999
Mistral,Asks for information,A,-0.416472157385796,0.00909081770577543,0.0,0.42280760253417804,2999
Mistral,Asks for information,B,-0.0020006668889627622,0.011697949898373652,0.864202427104343,0.42280760253417804,2999
Mistral,Asks for information,C,-0.25641880626875596,0.010493880225902153,7.251279337504552e-132,0.42280760253417804,2999
Mistral,Asks for information,A:B,-0.0033344448149371375,0.011754774129713118,0.7766653711897142,0.42280760253417804,2999
Mistral,Asks for information,A:C,0.25275091697232427,0.010560465366301942,1.3663157464261928e-126,0.42280760253417804,2999
Mistral,Asks for information,B:C,0.08569523174391418,0.01391732449086978,7.392550264944616e-10,0.42280760253417804,2999
Mistral,Asks for information,A:B:C,-0.08069356452150761,0.013995032164545172,8.123668521947223e-09,0.42280760253417804,2999
Mistral,Thanks the customer,A,-0.6495498499499827,0.009053110976508853,0.0,0.7222407469156386,2999
Mistral,Thanks the customer,B,-0.7222407469156354,0.008181309350426437,0.0,0.7222407469156386,2999
Mistral,Thanks the customer,C,0.2604201400466849,0.008140310914550194,1.435070410585345e-224,0.7222407469156386,2999
Mistral,Thanks the customer,A:B,0.6495498499499833,0.009053110976508773,0.0,0.7222407469156386,2999
Mistral,Thanks the customer,A:C,-0.2430810270090046,0.01038721333922289,4.082793799499425e-121,0.7222407469156386,2999
Mistral,Thanks the customer,B:C,-0.260420140046685,0.008140310914550152,1.4350704105770166e-224,0.7222407469156386,2999
Mistral,Thanks the customer,A:B:C,0.24474824941647502,0.010411609754290136,3.439145361014881e-122,0.7222407469156386,2999
Mistral,Leaves a [placeholder],A,-0.06768922974324817,0.009946573042407142,1.0085182268818406e-11,0.22074024674891632,2999
Mistral,Leaves a [placeholder],B,-0.036345448482827114,0.010372445659386435,0.0004582591746589216,0.22074024674891632,2999
Mistral,Leaves a [placeholder],C,-0.19039679893297812,0.008034880173527992,3.938270723227154e-124,0.22074024674891632,2999
Mistral,Leaves a [placeholder],A:B,-0.05201733911303749,0.012866014789648965,5.277089757938346e-05,0.22074024674891632,2999
Mistral,Leaves a [placeholder],A:C,0.09869956652217383,0.011076555591080534,5.072364480804552e-19,0.22074024674891632,2999
Mistral,Leaves a [placeholder],B:C,0.1513837945981997,0.012351539345927047,1.5549506145322417e-34,0.22074024674891632,2999
Mistral,Leaves a [placeholder],A:B:C,-0.06968989663221087,0.015553656973417826,7.442943195277445e-06,0.22074024674891632,2999
Mistral,Markdown,A,-0.06568856285428248,0.004525205081703179,9.573628937102873e-48,0.06568856285428476,2999
Mistral,Markdown,B,0.8482827609203025,0.006819164669668569,0.0,0.06568856285428476,2999
Mistral,Markdown,C,-0.06568856285428125,0.004525205081703099,9.573628937105337e-48,0.06568856285428476,2999
Mistral,Markdown,A:B,-0.3671223741247068,0.010995976142703836,2.1188641362158603e-244,0.06568856285428476,2999
Mistral,Markdown,A:C,0.06568856285428594,0.00452520508170381,9.573628937279342e-48,0.06568856285428476,2999
Mistral,Markdown,B:C,-0.5195065021673885,0.01073907265835542,0.0,0.06568856285428476,2999
Mistral,Markdown,A:B:C,0.28776258752917394,0.015525828771674478,1.0891169206408595e-76,0.06568856285428476,2999
Mistral,Hedging,A,-0.14238079359786648,0.007029918015768453,3.305415303322054e-91,0.15905301767255753,2999
Mistral,Hedging,B,-0.06602200733577833,0.008298111389504535,1.7730453475414558e-15,0.15905301767255753,2999
Mistral,Hedging,C,-0.05035011670556831,0.008328019254090416,1.4860644799847816e-09,0.15905301767255753,2999
Mistral,Hedging,A:B,0.07369123041013691,0.009102362957542619,5.687277737167908e-16,0.15905301767255753,2999
Mistral,Hedging,A:C,0.0530176725575191,0.00889124981066485,2.4779342224992366e-09,0.15905301767255753,2999
Mistral,Hedging,B:C,0.0250083361120371,0.01043706171773196,0.01657016798007234,0.15905301767255753,2999
Mistral,Hedging,A:B:C,-0.02367455818606185,0.011570436060840543,0.040744076446916126,0.15905301767255753,2999
Mistral,Promises an outcome,A,-0.0016672224074692054,0.0019158496767409992,0.38417685092441034,0.006335445148382794,2999
Mistral,Promises an outcome,B,-0.0036678892964321225,0.001731874713424926,0.034185893215864405,0.006335445148382794,2999
Mistral,Promises an outcome,C,-0.0063354451483828185,0.0014492924177420836,1.2344916112334526e-05,0.006335445148382794,2999
Mistral,Promises an outcome,A:B,0.007669223074358119,0.0025582038571890513,0.002718525295599884,0.006335445148382794,2999
Mistral,Promises an outcome,A:C,0.001667222407469142,0.0019158496767410125,0.38417685092443177,0.006335445148382794,2999
Mistral,Promises an outcome,B:C,0.003667889296432163,0.0017318747134249571,0.034185893215865674,0.006335445148382794,2999
Mistral,Promises an outcome,A:B:C,-0.007002334111370483,0.002686112461810114,0.00913752244960436,0.006335445148382794,2999
Mistral,All three labels present,A,-2.220446049250313e-15,4.055905044003794e-17,0.0,0.0,2999
Mistral,All three labels present,B,0.9999999999999931,1.2573305636412078e-16,0.0,0.0,2999
Mistral,All three labels present,C,-1.064635951360531e-15,1.9265548959016798e-17,0.0,0.0,2999
Mistral,All three labels present,A:B,3.4416913763379853e-15,6.286652818206031e-17,0.0,0.0,2999
Mistral,All three labels present,A:C,3.524958103184872e-15,6.388050444306034e-17,0.0,0.0,2999
Mistral,All three labels present,B:C,1.4617910493416897e-15,2.6363382786023137e-17,0.0,0.0,2999
Mistral,All three labels present,A:B:C,-4.163336342344337e-15,7.503424331406975e-17,0.0,0.0,2999
